ctgov,dist,parameter,est,se
NCT00274079,weibull,scale,6.984e+00,4.075e-01
NCT00274547,weibull,shape,-3.338e-01,4.928e-02
NCT00274547,weibull,scale,7.203e+00,1.250e-01
NCT00274560,weibull,shape,-3.460e-01,1.186e-01
NCT00274560,weibull,scale,7.540e+00,4.090e-01
NCT00274573,weibull,shape,-3.434e-01,5.719e-02
NCT00274573,weibull,scale,6.714e+00,1.583e-01
NCT00274599,weibull,shape,-1.807e-01,1.049e-01
NCT00274599,weibull,scale,7.188e+00,3.039e-01
NCT00274612,weibull,shape,-1.243e-02,1.087e-01
NCT00274612,weibull,scale,6.865e+00,2.719e-01
NCT00277264,weibull,shape,-5.206e-01,6.526e-02
NCT00277264,weibull,scale,7.985e+00,1.883e-01
NCT00321854,weibull,shape,-1.502e-01,7.940e-02
NCT00321854,weibull,scale,7.324e+00,1.487e-01
NCT00384930,weibull,shape,-4.981e-02,8.108e-02
NCT00384930,weibull,scale,6.477e+00,1.873e-01
NCT00402233,weibull,shape,-2.377e-01,1.610e-01
NCT00402233,weibull,scale,7.047e+00,4.759e-01
NCT00466167,weibull,shape,-4.187e-01,1.192e-01
NCT00466167,weibull,scale,8.361e+00,4.076e-01
NCT00472199,weibull,shape,-4.440e-01,9.761e-02
NCT00472199,weibull,scale,6.840e+00,2.380e-01
NCT00479401,weibull,shape,-5.225e-01,9.890e-02
NCT00479401,weibull,scale,8.169e+00,3.263e-01
NCT00525512,weibull,shape,-4.308e-01,7.539e-02
NCT00525512,weibull,scale,8.039e+00,1.753e-01
NCT00563381,weibull,shape,-4.442e-01,2.778e-02
NCT00563381,weibull,scale,8.532e+00,8.763e-02
NCT00601250,weibull,shape,-2.034e-01,1.386e-01
NCT00601250,weibull,scale,8.313e+00,4.737e-01
NCT00602472,weibull,shape,-3.348e-02,1.128e-01
NCT00602472,weibull,scale,7.810e+00,3.253e-01
NCT00622284,weibull,shape,-3.602e-01,5.116e-02
NCT00622284,weibull,scale,8.511e+00,1.280e-01
NCT00641043,weibull,shape,-3.655e-01,1.721e-01
NCT00641043,weibull,scale,8.625e+00,6.564e-01
NCT00654381,weibull,shape,1.064e+00,1.838e-01
NCT00654381,weibull,scale,6.878e+00,1.933e-01
NCT00734474,weibull,shape,-1.739e-01,4.530e-02
NCT00734474,weibull,scale,7.406e+00,7.203e-02
NCT00740051,weibull,shape,-2.822e-02,1.367e-01
NCT00740051,weibull,scale,7.325e+00,2.507e-01
NCT00772538,weibull,shape,-4.935e-01,1.455e-01
NCT00772538,weibull,scale,9.506e+00,5.932e-01
NCT00776984,weibull,shape,8.589e-02,1.377e-01
NCT00776984,weibull,scale,7.772e+00,3.010e-01
NCT00782210,weibull,shape,-3.770e-01,8.924e-02
NCT00782210,weibull,scale,8.084e+00,2.479e-01
NCT00782509,weibull,shape,-3.941e-01,9.827e-02
NCT00782509,weibull,scale,8.466e+00,3.052e-01
NCT00793624,weibull,shape,-4.152e-01,7.482e-02
NCT00793624,weibull,scale,8.188e+00,2.178e-01
NCT00798161,weibull,shape,-2.873e-01,9.817e-02
NCT00798161,weibull,scale,7.804e+00,2.976e-01
NCT00800683,weibull,shape,-2.471e-01,1.649e-01
NCT00800683,weibull,scale,7.425e+00,3.463e-01
NCT00848081,weibull,shape,7.581e-02,1.636e-01
NCT00848081,weibull,scale,6.399e+00,3.604e-01
NCT00855582,weibull,shape,-9.417e-02,1.172e-01
NCT00855582,weibull,scale,6.747e+00,3.035e-01
NCT00861757,weibull,shape,7.949e-02,1.409e-01
NCT00861757,weibull,scale,6.736e+00,3.514e-01
NCT00915772,weibull,shape,-1.293e-02,9.304e-02
NCT00915772,weibull,scale,7.492e+00,1.781e-01
NCT00926289,weibull,shape,-1.541e-01,1.299e-01
NCT00926289,weibull,scale,7.029e+00,4.384e-01
NCT00954447,weibull,shape,-2.823e-01,7.512e-02
NCT00954447,weibull,scale,8.717e+00,2.215e-01
NCT00970632,weibull,shape,2.064e-01,1.347e-01
NCT00970632,weibull,scale,6.263e+00,2.691e-01
NCT00975195,weibull,shape,-2.012e-01,4.557e-02
NCT00975195,weibull,scale,7.844e+00,1.080e-01
NCT00996658,weibull,shape,-4.815e-03,1.799e-01
NCT00996658,weibull,scale,7.297e+00,4.341e-01
NCT01064687,weibull,shape,-2.006e-01,9.659e-02
NCT01064687,weibull,scale,8.566e+00,2.871e-01
NCT01075282,weibull,shape,-3.882e-01,1.075e-01
NCT01075282,weibull,scale,9.561e+00,3.890e-01
NCT01084005,weibull,shape,9.727e-02,2.157e-01
NCT01084005,weibull,scale,7.292e+00,5.126e-01
NCT01087502,weibull,shape,-1.314e-01,1.375e-01
NCT01087502,weibull,scale,7.527e+00,2.842e-01
NCT01126437,weibull,shape,-3.809e-01,1.548e-02
NCT01126437,weibull,scale,8.712e+00,3.961e-02
NCT01126580,weibull,shape,-1.962e-01,8.212e-02
NCT01126580,weibull,scale,7.904e+00,1.981e-01
NCT01131676,weibull,shape,1.505e-01,4.173e-02
NCT01131676,weibull,scale,7.408e+00,4.410e-02
NCT01159600,weibull,shape,-2.925e-01,9.950e-02
NCT01159600,weibull,scale,8.539e+00,3.666e-01
NCT01164501,weibull,shape,-2.431e-01,1.029e-01
NCT01164501,weibull,scale,8.480e+00,3.016e-01
NCT01167881,weibull,shape,-6.069e-01,6.249e-02
NCT01167881,weibull,scale,1.040e+01,2.391e-01
NCT01177813,weibull,shape,-1.246e-01,1.022e-01
NCT01177813,weibull,scale,7.643e+00,2.848e-01
NCT01191268,weibull,shape,-3.041e-01,7.766e-02
NCT01191268,weibull,scale,8.103e+00,2.072e-01
NCT01191944,weibull,shape,-6.647e-01,1.648e-01
NCT01191944,weibull,scale,9.766e+00,8.802e-01
NCT01194830,weibull,shape,-3.530e-01,1.321e-01
NCT01194830,weibull,scale,6.910e+00,3.183e-01
NCT01204294,weibull,shape,-2.755e-01,1.653e-01
NCT01204294,weibull,scale,9.498e+00,6.382e-01
NCT01210001,weibull,shape,-3.063e-01,1.587e-01
NCT01210001,weibull,scale,8.552e+00,5.869e-01
NCT01214239,weibull,shape,-1.619e-01,1.830e-01
NCT01214239,weibull,scale,7.817e+00,5.425e-01
NCT01306214,weibull,shape,-7.520e-03,1.051e-01
NCT01306214,weibull,scale,7.700e+00,2.216e-01
NCT01335464,weibull,shape,-6.590e-02,9.080e-02
NCT01335464,weibull,scale,7.370e+00,1.721e-01
NCT01335477,weibull,shape,-1.205e-01,8.822e-02
NCT01335477,weibull,scale,7.461e+00,1.772e-01
NCT01368081,weibull,shape,-1.419e-01,1.011e-01
NCT01368081,weibull,scale,8.723e+00,3.112e-01
NCT01370005,weibull,shape,1.631e-01,1.675e-01
NCT01370005,weibull,scale,7.114e+00,4.701e-01
NCT01422876,weibull,shape,-3.108e-01,7.094e-02
NCT01422876,weibull,scale,8.474e+00,2.107e-01
NCT01558271,weibull,shape,-5.324e-01,1.475e-01
NCT01558271,weibull,scale,9.894e+00,6.468e-01
NCT01621178,weibull,shape,-3.811e-01,1.007e-01
NCT01621178,weibull,scale,8.428e+00,3.010e-01
NCT01624259,weibull,shape,-1.248e-01,1.629e-01
NCT01624259,weibull,scale,8.331e+00,5.435e-01
NCT01694771,weibull,shape,7.413e-02,1.127e-01
NCT01694771,weibull,scale,6.921e+00,2.986e-01
NCT01708902,weibull,shape,-4.364e-01,1.224e-01
NCT01708902,weibull,scale,8.798e+00,4.923e-01
NCT01719003,weibull,shape,-4.492e-01,8.991e-02
NCT01719003,weibull,scale,8.855e+00,3.665e-01
NCT01769378,weibull,shape,-1.840e-01,2.012e-01
NCT01769378,weibull,scale,8.108e+00,6.524e-01
NCT02152371,weibull,shape,-2.829e-01,1.897e-01
NCT02152371,weibull,scale,8.411e+00,6.521e-01
NCT02172287,weibull,shape,-5.457e-01,8.992e-02
NCT02172287,weibull,scale,7.831e+00,2.978e-01
NCT02172586,weibull,shape,-2.483e-01,1.419e-01
NCT02172586,weibull,scale,7.650e+00,4.053e-01
NCT02175355,weibull,shape,2.549e-01,1.233e-01
NCT02175355,weibull,scale,5.871e+00,2.816e-01
NCT02177344,weibull,shape,-6.088e-01,1.117e-01
NCT02177344,weibull,scale,8.888e+00,4.783e-01
NCT02177396,weibull,shape,-3.006e-02,1.742e-01
NCT02177396,weibull,scale,6.648e+00,4.954e-01
NCT02177461,weibull,shape,-4.326e-02,9.287e-02
NCT02177461,weibull,scale,6.294e+00,1.530e-01
NCT02183064,weibull,shape,-5.070e-01,9.361e-02
NCT02183064,weibull,scale,9.171e+00,4.090e-01
NCT02200653,weibull,shape,-7.206e-02,2.339e-01
NCT02200653,weibull,scale,7.317e+00,8.077e-01
NCT02240680,weibull,shape,-4.658e-01,2.012e-01
NCT02240680,weibull,scale,9.452e+00,8.764e-01
NCT02489968,weibull,shape,-1.030e-01,1.929e-01
NCT02489968,weibull,scale,8.804e+00,6.515e-01
NCT02750410,weibull,shape,-9.009e-02,2.387e-01
NCT02750410,weibull,scale,8.275e+00,6.347e-01
