ctgov,dist,loglik,aic
NCT00402233,llogis,-2.754e+02,5.548e+02
NCT00466167,llogis,-5.504e+02,1.105e+03
NCT00472199,llogis,-6.704e+02,1.345e+03
NCT00479401,llogis,-7.621e+02,1.528e+03
NCT00525512,llogis,-1.334e+03,2.673e+03
NCT00563381,llogis,-1.039e+04,2.079e+04
NCT00601250,llogis,-4.439e+02,8.918e+02
NCT00602472,llogis,-6.715e+02,1.347e+03
NCT00622284,llogis,-3.150e+03,6.304e+03
NCT00641043,llogis,-2.795e+02,5.631e+02
NCT00654381,llogis,-2.711e+02,5.461e+02
NCT00734474,llogis,-3.574e+03,7.152e+03
NCT00740051,llogis,-4.138e+02,8.315e+02
NCT00772538,llogis,-4.099e+02,8.238e+02
NCT00776984,llogis,-4.561e+02,9.162e+02
NCT00782210,llogis,-9.837e+02,1.971e+03
NCT00782509,llogis,-8.406e+02,1.685e+03
NCT00793624,llogis,-1.394e+03,2.792e+03
NCT00798161,llogis,-8.078e+02,1.620e+03
NCT00800683,llogis,-2.731e+02,5.501e+02
NCT00848081,llogis,-2.717e+02,5.475e+02
NCT00855582,llogis,-5.267e+02,1.057e+03
NCT00861757,llogis,-3.880e+02,7.800e+02
NCT00915772,llogis,-9.321e+02,1.868e+03
NCT00926289,llogis,-4.385e+02,8.810e+02
NCT00954447,llogis,-1.507e+03,3.018e+03
NCT00970632,llogis,-4.059e+02,8.158e+02
NCT00975195,llogis,-3.863e+03,7.730e+03
NCT00996658,llogis,-2.485e+02,5.010e+02
NCT01064687,llogis,-9.415e+02,1.887e+03
NCT01075282,llogis,-7.909e+02,1.586e+03
NCT01084005,llogis,-1.788e+02,3.615e+02
NCT01087502,llogis,-4.155e+02,8.350e+02
NCT01126437,llogis,-3.516e+04,7.033e+04
NCT01126580,llogis,-1.200e+03,2.404e+03
NCT01131676,llogis,-4.112e+03,8.228e+03
NCT01159600,llogis,-8.536e+02,1.711e+03
NCT01164501,llogis,-8.077e+02,1.619e+03
NCT01167881,llogis,-2.316e+03,4.637e+03
NCT01177813,llogis,-7.751e+02,1.554e+03
NCT01191268,llogis,-1.326e+03,2.657e+03
NCT01191944,llogis,-2.906e+02,5.852e+02
NCT01194830,llogis,-3.850e+02,7.740e+02
NCT01204294,llogis,-3.450e+02,6.939e+02
NCT01210001,llogis,-3.352e+02,6.745e+02
NCT01214239,llogis,-2.434e+02,4.908e+02
NCT01306214,llogis,-7.557e+02,1.515e+03
NCT01335464,llogis,-9.426e+02,1.889e+03
NCT01335477,llogis,-1.000e+03,2.005e+03
NCT01368081,llogis,-8.964e+02,1.797e+03
NCT01370005,llogis,-3.001e+02,6.041e+02
NCT01422876,llogis,-1.674e+03,3.352e+03
NCT01558271,llogis,-4.077e+02,8.194e+02
NCT01621178,llogis,-8.010e+02,1.606e+03
NCT01624259,llogis,-3.313e+02,6.665e+02
NCT01694771,llogis,-6.244e+02,1.253e+03
NCT01708902,llogis,-5.442e+02,1.092e+03
NCT01719003,llogis,-1.014e+03,2.032e+03
NCT01769378,llogis,-2.059e+02,4.159e+02
NCT02152371,llogis,-2.317e+02,4.675e+02
NCT02172287,llogis,-8.742e+02,1.752e+03
NCT02172586,llogis,-3.868e+02,7.775e+02
NCT02175355,llogis,-4.775e+02,9.589e+02
NCT02177344,llogis,-6.077e+02,1.219e+03
NCT02177396,llogis,-2.421e+02,4.882e+02
NCT02177461,llogis,-7.664e+02,1.537e+03
NCT02183064,llogis,-9.253e+02,1.855e+03
NCT02200653,llogis,-1.456e+02,2.952e+02
NCT02240680,llogis,-2.029e+02,4.098e+02
NCT02489968,llogis,-2.276e+02,4.593e+02
NCT02750410,llogis,-1.540e+02,3.119e+02
NCT00034840,lnorm,-2.485e+02,5.011e+02
NCT00051558,lnorm,-1.564e+03,3.132e+03
NCT00125918,lnorm,-4.740e+02,9.520e+02
NCT00152984,lnorm,-1.400e+02,2.840e+02
NCT00153023,lnorm,-1.374e+03,2.752e+03
NCT00153088,lnorm,-7.623e+02,1.529e+03
NCT00168831,lnorm,-2.000e+03,4.004e+03
NCT00168844,lnorm,-1.604e+03,3.211e+03
NCT00168857,lnorm,-1.446e+03,2.896e+03
NCT00239421,lnorm,-1.988e+02,4.016e+02
NCT00274014,lnorm,-2.020e+03,4.045e+03
NCT00274053,lnorm,-8.665e+02,1.737e+03
NCT00274079,lnorm,-3.663e+02,7.367e+02
NCT00274547,lnorm,-2.916e+03,5.836e+03
NCT00274560,lnorm,-5.212e+02,1.046e+03
NCT00274573,lnorm,-2.003e+03,4.010e+03
NCT00274599,lnorm,-6.801e+02,1.364e+03
NCT00274612,lnorm,-6.426e+02,1.289e+03
NCT00277264,lnorm,-1.713e+03,3.430e+03
NCT00321854,lnorm,-1.172e+03,2.349e+03
NCT00384930,lnorm,-1.066e+03,2.137e+03
NCT00402233,lnorm,-2.736e+02,5.511e+02
NCT00466167,lnorm,-5.492e+02,1.102e+03
NCT00472199,lnorm,-6.670e+02,1.338e+03
NCT00479401,lnorm,-7.606e+02,1.525e+03
NCT00525512,lnorm,-1.334e+03,2.671e+03
NCT00563381,lnorm,-1.037e+04,2.074e+04
NCT00601250,lnorm,-4.439e+02,8.918e+02
NCT00602472,lnorm,-6.716e+02,1.347e+03
NCT00622284,lnorm,-3.147e+03,6.299e+03
NCT00641043,lnorm,-2.796e+02,5.631e+02
NCT00654381,lnorm,-2.694e+02,5.427e+02
NCT00734474,lnorm,-3.576e+03,7.155e+03
NCT00740051,lnorm,-4.131e+02,8.302e+02
NCT00772538,lnorm,-4.100e+02,8.240e+02
NCT00776984,lnorm,-4.554e+02,9.149e+02
NCT00782210,lnorm,-9.834e+02,1.971e+03
NCT00782509,lnorm,-8.391e+02,1.682e+03
NCT00793624,lnorm,-1.391e+03,2.787e+03
NCT00798161,lnorm,-8.065e+02,1.617e+03
NCT00800683,lnorm,-2.731e+02,5.502e+02
NCT00848081,lnorm,-2.707e+02,5.454e+02
NCT00855582,lnorm,-5.241e+02,1.052e+03
NCT00861757,lnorm,-3.860e+02,7.759e+02
NCT00915772,lnorm,-9.346e+02,1.873e+03
NCT00926289,lnorm,-4.367e+02,8.774e+02
